"stolen_date","brand","model","color","stolen_from","recovery","Year","Month","Day"
"04/16/2020","CZ","P07",NA,"SPECIALITY STORE","RECOVERED LOCALLY","2020","04","16"
"04/16/2020","HIGH STANDARD","SPORTS KINGS",NA,"SPECIALITY STORE","NOT RECOVERED","2020","04","16"
"04/16/2020","ITHACA","AOW M87",NA,"SPECIALITY STORE","NOT RECOVERED","2020","04","16"
"04/16/2020","AERO PRECISION","X15",NA,"SPECIALITY STORE","NOT RECOVERED","2020","04","16"
"03/31/2020","GLOCK","19",NA,"RESIDENCE","NOT RECOVERED","2020","03","31"
"03/29/2020","AMERICAN ARMS",NA,NA,"RESIDENCE","NOT RECOVERED","2020","03","29"
"03/12/2020","SCCY","9MM","PLE","RESIDENCE","NOT RECOVERED","2020","03","12"
"03/09/2020","KEL-TEC",NA,NA,"RESIDENCE","NOT RECOVERED","2020","03","09"
"03/01/2020","RUGER","SR9C","BLK","RESIDENCE","NOT RECOVERED","2020","03","01"
"02/19/2020","COLT","1911 .45 CAL PI","BLU","RESIDENCE","NOT RECOVERED","2020","02","19"
"02/19/2020","PENN","1863 CIVIL WAR",NA,"RESIDENCE","NOT RECOVERED","2020","02","19"
"02/19/2020",NA,NA,NA,"RESIDENCE","NOT RECOVERED","2020","02","19"
"01/19/2020","GLOCK","21","BLK","RESIDENCE","NOT RECOVERED","2020","01","19"
"01/19/2020","GLOCK","27","BLK","RESIDENCE","RECOVERED OTHER","2020","01","19"
"01/09/2020","ROCK ISLAND","1911","BLK","RESIDENCE","NOT RECOVERED","2020","01","09"
"01/05/2020","GLOCK",NA,NA,"RESIDENCE","RECOVERED OTHER","2020","01","05"
"01/05/2020","DYNAMIC WEAPONS",NA,"BLK","RESIDENCE","NOT RECOVERED","2020","01","05"
"01/05/2020","STREAMLIGHT",NA,NA,"RESIDENCE","NOT RECOVERED","2020","01","05"
"01/05/2020","TRIJICON",NA,"BLK","RESIDENCE","NOT RECOVERED","2020","01","05"
"01/05/2020","ARRENDONDO",NA,"BLK","RESIDENCE","NOT RECOVERED","2020","01","05"
"01/03/2020","BURSA","THUNDER","BLK","RESIDENCE","NOT RECOVERED","2020","01","03"
"12/13/2019","GOLDFINGER",".38 SPECIAL","GLD","HIGHWAY/ROAD/ALLEY","NOT RECOVERED","2019","12","13"
"11/22/2019","WALTHER",NA,NA,"SPECIALITY STORE","RECOVERED LOCALLY","2019","11","22"
"11/22/2019","TAURUS","PT111",NA,"BAR/NIGHTCLUB","NOT RECOVERED","2019","11","22"
"11/22/2019","COBRA","380","BLK","SPECIALITY STORE","RECOVERED LOCALLY","2019","11","22"
"11/22/2019","PW ARMS","MAKAROV",NA,"SPECIALITY STORE","NOT RECOVERED","2019","11","22"
"11/22/2019","CENTURY ARMS","CANIK TP9V2",NA,"SPECIALITY STORE","NOT RECOVERED","2019","11","22"
"11/22/2019","HIPOINT","MOD C9",NA,"SPECIALITY STORE","NOT RECOVERED","2019","11","22"
"11/22/2019","EAA","WINDICATOR",NA,"SPECIALITY STORE","RECOVERED OTHER","2019","11","22"
"11/22/2019","KAHR","TP9",NA,"SPECIALITY STORE","RECOVERED LOCALLY","2019","11","22"
"11/22/2019","RUGER","SR45",NA,"SPECIALITY STORE","NOT RECOVERED","2019","11","22"
"11/22/2019","KAHR","MODEL CT9",NA,"SPECIALITY STORE","RECOVERED LOCALLY","2019","11","22"
"11/22/2019","GLOCK","23",NA,"SPECIALITY STORE","NOT RECOVERED","2019","11","22"
